Ticker,Last,Volume,Sector
A,79.3,1164631,Healthcare
AAN,53.21,996448,Consumer Cyclicals
AAP,155.46,1047765,Consumer Cyclicals
AAPL,178.9,32004148,Technology
ABBV,78.08,8041971,Healthcare
ABC,77.95,1336164,Consumer Non-Cyclicals
ABT,77.81,3908174,Healthcare
ACIA,53.59,1482337,Technology
ACN,163.94,1240427,Technology
ADBE,260.96,2711658,Technology
ADI,107.68,2884084,Technology
ADP,151.09,1817145,Technology
ADSK,154.04,2074984,Technology
AEE,72.57,1254040,Utilities
AEP,82.6,3831444,Utilities
AGN,146.64,3607193,Healthcare
AJG,79.04,1442222,Financials
AKAM,71.94,1145455,Technology
ALB,85.51,1015987,Basic Materials
ALGN,243.36,1528834,Healthcare
ALK,55.42,2414342,Industrials
ALL,94.11,1980259,Financials
ALLE,88.58,518441,Technology
ALNY,87.85,703320,Healthcare
ALRM,59.98,587525,Technology
ALXN,132.04,1306377,Healthcare
AMCX,61.25,663536,Consumer Cyclicals
AME,80.09,1506640,Industrials
AMGN,184.14,2696966,Healthcare
AMP,124.36,1228263,Financials
AMTD,54.64,1971815,Financials
AMZN,1670.88,3757008,Consumer Cyclicals
ANET,281.8,568841,Technology
ANTM,295.97,1404277,Healthcare
AON,164.71,1064273,Financials
AOS,51.15,1634339,Industrials
APD,183.95,884191,Basic Materials
APH,93.97,595980,Technology
APTV,82.58,1307417,Consumer Cyclicals
ATO,100.56,709160,Utilities
AVGO,269.06,2716054,Technology
AVY,109.15,779566,Basic Materials
AWI,73.99,818489,Basic Materials
AWK,104.03,1785767,Utilities
AXP,109.56,3289261,Financials
AXS,55.66,643232,Financials
AYX,75.17,1102955,Technology
BA,400.01,34736330,Industrials
BAH,55.22,2262760,Technology
BAX,75.12,2015798,Healthcare
BBY,68.72,3641932,Consumer Cyclicals
BCO,75.38,546084,Industrials
BDX,249.94,582975,Healthcare
BEAT,67.25,511154,Healthcare
BERY,54.72,3011503,Basic Materials
BG,51.64,2452321,Consumer Non-Cyclicals
BIIB,311.46,1491678,Healthcare
BK,51.83,3509715,Financials
BKNG,1709.9,681222,Consumer Cyclicals
BLK,428.1,593087,Financials
BLL,55.6,3328116,Basic Materials
BLUE,147.01,672012,Healthcare
BMO,76.78,906081,Financials
BMRN,91.27,609091,Healthcare
BMY,50.9,13960306,Healthcare
BNS,54.16,867710,Financials
BPOP,53.98,527105,Financials
BR,99.49,1038016,Industrials
BRK.B,202.09,3999176,Financials
BURL,145.08,2709176,Consumer Cyclicals
C,62.31,14167194,Financials
CASY,131.29,721294,Consumer Non-Cyclicals
CAT,133.11,3914171,Industrials
CB,133.41,1367858,Financials
CBOE,94.5,848627,Financials
CBRE,50.57,1479935,Financials
CCK,54.75,3347940,Basic Materials
CCL,55.43,3472472,Consumer Cyclicals
CDK,58.65,794645,Technology
CDNS,59.96,1987964,Technology
CDW,94.71,893194,Technology
CE,101.49,809990,Basic Materials
CELG,85.26,7045359,Healthcare
CERN,56.26,3701487,Healthcare
CGNX,52.51,893664,Industrials
CHD,66.45,830044,Consumer Non-Cyclicals
CHKP,120.03,828698,Technology
CHRW,88.87,769424,Industrials
CHTR,341.08,1401874,Consumer Cyclicals
CI,163.63,2090861,Healthcare
CINF,85.45,577733,Financials
CL,65.85,2722626,Consumer Non-Cyclicals
CLB,67.56,905781,Energy
CLX,159.07,899224,Consumer Non-Cyclicals
CM,83.97,527114,Financials
CMA,82.49,3114077,Financials
CME,170.82,1727532,Financials
CMG,616.88,570803,Consumer Cyclicals
CMI,158.04,1606161,Consumer Cyclicals
CMS,54.95,1836241,Utilities
CNC,57.45,2665625,Healthcare
CNI,87.38,828354,Industrials
COF,82.85,2926573,Financials
COP,65.87,8703529,Energy
COST,229.69,3748431,Consumer Cyclicals
COUP,93.57,3648565,Technology
CPRT,58.92,1295833,Consumer Cyclicals
CREE,53.71,999299,Technology
CRI,93.26,893346,Consumer Cyclicals
CRM,157.65,5698001,Technology
CSCO,51.92,17858888,Technology
CSOD,56.08,583793,Technology
CSX,72.95,4221472,Industrials
CTAS,204.32,736242,Industrials
CTSH,72.35,3159171,Technology
CTXS,100.14,2769736,Technology
CVNA,52.14,2487743,Consumer Cyclicals
CVS,53.75,14768513,Healthcare
CVX,123.62,6088681,Energy
CXO,99.85,2212259,Energy
CYBR,110.74,930379,Technology
D,76.32,3727034,Utilities
DAL,51.12,8867930,Industrials
DATA,127.06,502883,Technology
DE,160.42,1340270,Industrials
DECK,142.72,556008,Consumer Cyclicals
DELL,54.15,1782684,Technology
DFS,70.87,1580967,Financials
DG,119.71,2139424,Consumer Cyclicals
DGX,85.44,1487940,Healthcare
DHR,126.33,3282288,Healthcare
DIS,114.75,6952702,Consumer Cyclicals
DLTR,103.84,2199826,Consumer Cyclicals
DNKN,70.76,561204,Consumer Cyclicals
DOCU,57.15,2478327,Technology
DOV,90.54,700687,Industrials
DOX,54.93,715977,Technology
DPZ,246.99,879487,Consumer Cyclicals
DRI,108.78,910001,Consumer Cyclicals
DTE,123.69,1228925,Utilities
DUK,90.36,3720215,Utilities
DVA,50.47,1408335,Healthcare
DWDP,55.58,11854537,Basic Materials
DXC,65.44,1926155,Technology
DXCM,144.09,951867,Healthcare
EA,99.04,4623846,Technology
EBS,59.51,516282,Healthcare
ECL,170.21,1454331,Basic Materials
ED,84.27,1838090,Utilities
EEFT,137.9,521889,Industrials
