Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
MSFT,112.83,2.0993576,2.32,Buy,26490852,847856340000,25.70287,4.35056,131000,Technology
AAPL,178.9,3.46423,5.99,Buy,32004148,820526800000,14.48792,12.03849,132000,Technology
GOOG,1175.76,2.7852085,31.86,Strong Buy,1719099,799443500000,26.31432,44.21324,98771,Technology
GOOGL,1179.26,2.547023,29.29,Strong Buy,1501445,799443500000,26.31432,44.21324,98771,Technology
AMZN,1670.88,3.089832,50.08,Buy,3757008,796141600000,81.72003,20.34462,647500,Consumer Cyclicals
BRK.B,202.09,1.7060896,3.39,Sell,3999176,492019450000,143.9274,2077.436,389000,Financials
FB,172.07,1.456368,2.47,Strong Buy,18880988,483946100000,22.37367,7.65416,35587,Technology
JPM,104.35,1.3008446,1.34,Buy,9763235,342550540000,11.46133,9.03458,256105,Financials
XOM,79.78,0.9745602,0.77,Buy,11060876,334591750000,16.20286,4.8763,71000,Energy
V,150.67,2.2531388,3.32,Buy,9361395,324300400000,31.67571,4.65931,17000,Technology
WMT,98.48,0.91197866,0.89,Buy,5345092,283524330000,43.34251,2.26662,2300000,Consumer Non-Cyclicals
PG,99.58,1.1889036,1.17,Buy,7544634,246180460000,23.92873,4.19956,92000,Consumer Non-Cyclicals
BA,400.01,-5.3320394,-22.53,Sell,34736330,238728800000,23.6404,18.02966,153000,Industrials
INTC,53.35,1.6577744,0.87,Buy,18962954,236999670000,11.86893,4.5058,107400,Technology
VZ,57.58,1.8574208,1.05,Strong Buy,13627431,233584560000,15.03589,3.76305,144500,Telecommunications Services
CVX,123.62,1.6444664,2,Strong Buy,6088681,231085640000,15.73023,7.7966,48600,Energy
UNH,243.15,2.469552,5.86,Sell,4539618,227688890000,19.45944,12.44713,300000,Healthcare
MA,225.64,1.6991932,3.77,Buy,2670194,227618440000,40.18081,5.5536,14800,Technology
CSCO,51.92,1.6643822,0.85,Buy,17858888,224811550000,19.70909,2.63461,74200,Technology
MRK,80.87,1.3408521,1.07,Buy,8708675,205981380000,34.30001,2.34025,69000,Healthcare
HD,182.44,0.6676599,1.21,Sell,3866236,204971130000,18.81883,9.67653,413000,Consumer Cyclicals
ORCL,52.66,-0.20845178,-0.11,Buy,20027696,189387260000,19.76812,2.71949,137000,Technology
DIS,114.75,0.825938,0.94,Strong Buy,6952702,169665300000,15.72696,7.27287,201000,Consumer Cyclicals
PEP,116.59,1.1802481,1.36,Buy,4821824,162359070000,13.1283,8.83666,267000,Consumer Non-Cyclicals
NFLX,358.86,2.6487415,9.26,Buy,5386159,152634870000,133.4484,2.71648,7100,Technology
C,62.31,0.40283597,0.25,Sell,14167194,145250900000,9.25538,6.70963,204000,Financials
MCD,181.08,0.88022286,1.58,Buy,2071481,137374460000,23.49633,7.71135,210000,Consumer Cyclicals
PM,89.24,2.0468838,1.79,Buy,6022469,135948400000,17.15463,5.09839,77400,Consumer Non-Cyclicals
ABT,77.81,1.5398669,1.18,Buy,3908174,134598320000,55.28381,1.39559,103000,Healthcare
NKE,85.82,1.2028302,1.02,Buy,3999751,133458035000,32.99893,2.61322,73100,Consumer Cyclicals
LLY,123.5,-2.5256512,-3.2,Buy,61514588,131187530000,38.38254,3.32167,38680,Healthcare
ADBE,260.96,2.4417052,6.22,Buy,2711658,124597120000,45.64546,5.66027,21357,Technology
DWDP,55.58,1.6459401,0.9,Buy,11854537,123290390000,33.44077,1.63573,98000,Basic Materials
MDT,92,1.6349978,1.48,Buy,4639110,121400980000,24.14098,3.78071,86000,Healthcare
IBM,137.71,1.5935079,2.16,Buy,3939517,120565050000,11.47716,11.82394,350600,Technology
UNP,165.6,0.79123557,1.3,Buy,4051724,118768830000,20.7282,7.96259,41967,Industrials
CRM,157.65,1.6703211,2.59,Sell,5698001,118620900000,107.9166,1.48289,29000,Technology
MMM,207.1,3.091244,6.21,Buy,2385314,115672465000,21.85435,9.39762,93516,Industrials
ABBV,78.08,0.644496,0.5,Sell,8041971,114436980000,21.40486,3.63784,30000,Healthcare
AMGN,184.14,1.8079283,3.27,Sell,2696966,112551430000,14.35322,12.6776,21500,Healthcare
PYPL,97.45,1.8392726,1.76,Buy,5387479,112264405000,55.41592,1.75472,21800,Technology
HON,153.19,1.0554786,1.6,Buy,2792821,110522130000,24.79538,6.19628,114000,Industrials
RY,76.92,0.26068822,0.2,Buy,1221109,110131905000,12.13461,6.35814,82108,Financials
ACN,163.94,1.3915517,2.25,Buy,1240427,107716570000,23.83929,6.91703,459000,Technology
UTX,126.01,1.6045799,1.99,Buy,4655919,106874085000,16.68169,7.52372,240000,Industrials
AVGO,269.06,1.8433703,4.87,Sell,2716054,104646690000,23.19265,11.90391,15000,Technology
MO,56.01,1.1558605,0.64,Buy,11709617,103787230000,14.64063,3.78343,8300,Consumer Non-Cyclicals
TD,56.09,0.46569943,0.26,Sell,747371,102327860000,12.39584,4.5131,84383,Financials
COST,229.69,0.82082343,1.87,Buy,3748431,100238295000,29.50765,7.77689,143000,Consumer Cyclicals
